T(K),X,m,cp(J/gK)
180.5,0.33,28.92004659,5.69
181.5,0.33,28.92004659,5.06
182.5,0.33,28.92004659,4.58
183.5,0.33,28.92004659,4.21
184.5,0.33,28.92004659,3.92
185.5,0.33,28.92004659,3.71
186.5,0.33,28.92004659,3.54
187.5,0.33,28.92004659,3.42
188.5,0.33,28.92004659,3.34
189.5,0.33,28.92004659,3.28
190.5,0.33,28.92004659,3.24
191.5,0.33,28.92004659,3.22
192.5,0.33,28.92004659,3.21
193.5,0.33,28.92004659,3.22
194.5,0.33,28.92004659,3.22
195.5,0.33,28.92004659,3.24
196.5,0.33,28.92004659,3.26
197.5,0.33,28.92004659,3.28
198.5,0.33,28.92004659,3.31
199.5,0.33,28.92004659,3.33
200.5,0.33,28.92004659,3.35
201.5,0.33,28.92004659,3.37
202.5,0.33,28.92004659,3.4
203.5,0.33,28.92004659,3.42
204.5,0.33,28.92004659,3.44
205.5,0.33,28.92004659,3.46
206.5,0.33,28.92004659,3.47
207.5,0.33,28.92004659,3.5
208.5,0.33,28.92004659,3.51
209.5,0.33,28.92004659,3.52
210.5,0.33,28.92004659,3.54
211.5,0.33,28.92004659,3.55
212.5,0.33,28.92004659,3.57
213.5,0.33,28.92004659,3.57
214.5,0.33,28.92004659,3.59
215.5,0.33,28.92004659,3.6
216.5,0.33,28.92004659,3.6
217.5,0.33,28.92004659,3.62
218.5,0.33,28.92004659,3.63
219.5,0.33,28.92004659,3.64
220.5,0.33,28.92004659,3.65
221.5,0.33,28.92004659,3.66
222.5,0.33,28.92004659,3.67
223.5,0.33,28.92004659,3.68
224.5,0.33,28.92004659,3.69
225.5,0.33,28.92004659,3.7
226.5,0.33,28.92004659,3.71
227.5,0.33,28.92004659,3.72
228.5,0.33,28.92004659,3.73
229.5,0.33,28.92004659,3.75
230.5,0.33,28.92004659,3.75
231.5,0.33,28.92004659,3.77
232.5,0.33,28.92004659,3.77
233.5,0.33,28.92004659,3.79
234.5,0.33,28.92004659,3.8
235.5,0.33,28.92004659,3.81
236.5,0.33,28.92004659,3.83
237.5,0.33,28.92004659,3.83
238.5,0.33,28.92004659,3.85
239.5,0.33,28.92004659,3.86
240.5,0.33,28.92004659,3.88
241.5,0.33,28.92004659,3.88
242.5,0.33,28.92004659,3.9
243.5,0.33,28.92004659,3.9
244.5,0.33,28.92004659,3.92
245.5,0.33,28.92004659,3.94
246.5,0.33,28.92004659,3.94
247.5,0.33,28.92004659,3.96
248.5,0.33,28.92004659,3.96
249.5,0.33,28.92004659,3.98
250.5,0.33,28.92004659,4
251.5,0.33,28.92004659,4
252.5,0.33,28.92004659,4.01
253.5,0.33,28.92004659,4.03
254.5,0.33,28.92004659,4.03
255.5,0.33,28.92004659,4.05
256.5,0.33,28.92004659,4.06
257.5,0.33,28.92004659,4.07
258.5,0.33,28.92004659,4.08
259.5,0.33,28.92004659,4.08
260.5,0.33,28.92004659,4.1
261.5,0.33,28.92004659,4.11
262.5,0.33,28.92004659,4.12
263.5,0.33,28.92004659,4.13
264.5,0.33,28.92004659,4.14
265.5,0.33,28.92004659,4.15
266.5,0.33,28.92004659,4.16
267.5,0.33,28.92004659,4.17
268.5,0.33,28.92004659,4.17
269.5,0.33,28.92004659,4.19
270.5,0.33,28.92004659,4.19
271.5,0.33,28.92004659,4.2
272.5,0.33,28.92004659,4.21
273.5,0.33,28.92004659,4.22
274.5,0.33,28.92004659,4.226
275.5,0.33,28.92004659,4.235
276.5,0.33,28.92004659,4.242
277.5,0.33,28.92004659,4.25
278.5,0.33,28.92004659,4.257
279.5,0.33,28.92004659,4.265
280.5,0.33,28.92004659,4.273
281.5,0.33,28.92004659,4.279
282.5,0.33,28.92004659,4.286
283.5,0.33,28.92004659,4.294
284.5,0.33,28.92004659,4.3
285.5,0.33,28.92004659,4.307
286.5,0.33,28.92004659,4.313
287.5,0.33,28.92004659,4.32
288.5,0.33,28.92004659,4.326
289.5,0.33,28.92004659,4.333
290.5,0.33,28.92004659,4.339
291.5,0.33,28.92004659,4.344
292.5,0.33,28.92004659,4.351
293.5,0.33,28.92004659,4.357
