T(K),cp(J/gK)
241,4.25677850000526
242.597989949749,4.24359555787032
244.195979899498,4.23207054086824
245.793969849246,4.22168740473679
247.391959798995,4.21216175797324
248.989949748744,4.20334283506477
250.587939698492,4.19515668160464
252.185929648241,4.18757271257333
253.78391959799,4.18058383076121
255.381909547739,4.17419460182385
256.979899497487,4.16841320955996
258.577889447236,4.16324639594051
260.175879396985,4.15869933635384
261.773869346734,4.15477488989841
263.371859296482,4.15147325136525
264.969849246231,4.14879199153839
266.56783919598,4.14672631070395
268.165829145729,4.1452693963141
269.763819095477,4.14441282084558
271.361809045226,4.1441445951653
272.959798994975,4.14443736360434
274.557788944724,4.14525772163338
276.155778894472,4.14657213473212
277.753768844221,4.14834716961575
279.35175879397,4.15054967935698
280.949748743719,4.15314695324435
282.547738693467,4.15610683528026
284.145728643216,4.15939781523741
285.743718592965,4.16298877216342
287.341708542714,4.16684053122895
288.939698492462,4.17090509877994
290.537688442211,4.17513484099035
292.13567839196,4.17948296964302
293.733668341709,4.18390352510458
295.331658291457,4.18835135354425
296.929648241206,4.19278207914915
298.527638190955,4.19715207527504
300.125628140703,4.20142034383591
