P(MPa),T(K),massfrac,molefrac,cp(J/kgK),cp/1000
0.1,280.2250352,0.1,,4235.66879,4.23566879
0.1,288.9451477,0.1,,4299.363057,4.299363057
0.1,297.5246132,0.1,,4331.210191,4.331210191
0.1,305.9634318,0.1,,4363.057325,4.363057325
0.1,314.5428973,0.1,,4426.751592,4.426751592
0.1,322.9817159,0.1,,4490.44586,4.49044586
0.1,331.5611814,0.1,,4554.140127,4.554140127
0.1,340,0.1,,4601.910828,4.601910828
0.1,237.6090014,0.28,,3757.961783,3.757961783
0.1,246.1884669,0.28,,3933.121019,3.933121019
0.1,254.7679325,0.28,,4060.509554,4.060509554
0.1,263.2067511,0.28,,4171.974522,4.171974522
0.1,271.7862166,0.28,,4267.515924,4.267515924
0.1,280.2250352,0.28,,4426.751592,4.426751592
0.1,288.9451477,0.28,,4585.987261,4.585987261
0.1,297.3839662,0.28,,4729.299363,4.729299363
0.1,306.1040788,0.28,,4904.458599,4.904458599
0.1,314.4022504,0.28,,5063.694268,5.063694268
0.1,323.1223629,0.28,,5222.929936,5.222929936
0.1,331.5611814,0.28,,5414.012739,5.414012739
0.1,340,0.28,,5589.171975,5.589171975
