T(K),X,m,cp(J/gK),cpm(J/molK),cpm2(J/molK)
197.12,0.48596,55.50900716,3.385891813,59.37824689,59.33144768
201.38,0.48596,55.50900716,3.431259898,60.17386515,60.12643887
206.38,0.48596,55.50900716,3.480209674,61.03229538,60.98419252
211.61,0.48596,55.50900716,3.536322832,62.01634954,61.96747109
216.93,0.48596,55.50900716,3.593629886,63.02134102,62.97167049
222.37,0.48596,55.50900716,3.653324735,64.06820715,64.01771153
227.89,0.48596,55.50900716,3.711825686,65.09413596,65.04283175
233.47,0.48596,55.50900716,3.772714432,66.16193941,66.10979361
239.13,0.48596,55.50900716,3.834797075,67.25068019,67.19767628
244.84,0.48596,55.50900716,3.89568582,68.31848364,68.26463814
250.62,0.48596,55.50900716,3.960156257,69.44909906,69.39436246
256.44,0.48596,55.50900716,4.017463311,70.45409055,70.39856186
262.35,0.48596,55.50900716,4.081933748,71.58470597,71.52828618
268.28,0.48596,55.50900716,4.141628596,72.6315721,72.57432722
274.12,0.48596,55.50900716,4.196547857,73.59468893,73.53668498
279.81,0.48596,55.50900716,4.252661015,74.5787431,74.51996355
285.33,0.48596,55.50900716,4.305192482,75.49998529,75.44047966
290.21,0.48596,55.50900716,4.344591082,76.19091694,76.13086675
